Frase,Polaridad,Subjetividad,Negativo,Neutro,Positivo,Compuesto
the lead caus matern death mexico covid ,0.0,0.0,0.606,0.394,0.0,-0.5994
14 world popul life richest countri capit 53 anticovid vaccin to ,0.0,0.0,0.746,0.0,0.254,0.5267
caraqueño caraqueña i gisel father sick covid la guaira roll around hospit 4 day ,-0.7142857142857143,0.8571428571428571,0.769,0.231,0.0,-0.5106
prevent vaccin covid 20 popul poor countri covax mechan ,-0.4,0.6,0.625,0.277,0.098,-0.4588
mexico yesterday countri death covid world it fuck disast must ,-0.4,0.6,0.519,0.481,0.0,-0.8126
ruth15463941 buenrollo13 they distinguish covid cold i read unit state revok author ,-0.6,1.0,1.0,0.0,0.0,0.0
how long amlo gatel say third wave alreadi down ,-0.06851851851851853,0.22962962962962963,1.0,0.0,0.0,0.0
covid xfavor alreadi finish i want live normal life ,0.1431818181818182,0.575,0.843,0.0,0.157,0.0772
mexico countri death covid world health personnel govern not vaccin ,0.0,0.0,0.698,0.302,0.0,-0.5994
meet mu new variant covid19 ,0.13636363636363635,0.45454545454545453,1.0,0.0,0.0,0.0
maximo kirchner outlin machiavellian smile ask minut silenc 113000 die covid re ,0.3,0.1,0.61,0.238,0.152,-0.34
oh no earth flat hahahaha paranoid peopl told conspiraci look ,0.08750000000000001,0.3125,0.656,0.344,0.0,-0.4939
im go wear mask whoever take lose the teacher wendi canal gone viral comp ,0.0,0.0,0.828,0.172,0.0,-0.4019
3000 canadian nurs threaten resign lie told offic hospit full vac ,0.35,0.55,0.643,0.357,0.0,-0.6124
55 a pdte said 7 7 method given good result from today monday 6sep ,0.7,0.6000000000000001,0.775,0.0,0.225,0.4404
diseas activ increas disturb rate recent month hospit ,0.0,0.25,0.722,0.278,0.0,-0.4019
it seem logic reduc covid limit but someon explain scientif logic allow ,0.0,0.0,0.824,0.0,0.176,0.3291
on day virgen del vall i rais prayer venezuelan fight health ,0.0,0.0,0.776,0.224,0.0,-0.3818
they tell u vaccin prevent infect reduc sever and therefor lethal covi ,0.0,0.0,0.901,0.0,0.099,0.0258
3000 canadian nurs threaten resign lie told offic hospit full vac ,0.35,0.55,0.643,0.357,0.0,-0.6124
death covid diagnosi summer 2021 a juli 1 2021 80911 death a septemb 1 2021 85066 85066 ,0.0,0.0,0.585,0.415,0.0,-0.8316
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
although sarscov2 extrem danger child could get serious ill see ,-0.41666666666666663,0.8333333333333333,0.483,0.517,0.0,-0.7579
the govern left countri 1st place death covid russia usa ,0.0,0.0,0.698,0.302,0.0,-0.5994
oh nice read ,0.6,1.0,0.417,0.0,0.583,0.4215
here talk doctormuert ,0.0,0.0,1.0,0.0,0.0,0.0
lopez get shoe wet jump crack alreadi first place medal number 1 death covid ,0.075,0.3666666666666667,0.546,0.213,0.24,-0.128
i publish episod interview person charg chamba multidisciplinari team charg of ,0.0,0.0,1.0,0.0,0.0,0.0
we pleas inform facil readi host intern meet event ,0.0,0.0,1.0,0.0,0.0,0.0
help u pleas ,0.0,0.0,0.27,0.0,0.73,0.4019
realli news covid blowjob appear instagram i think wing ,0.0,0.0,1.0,0.0,0.0,0.0
aha uneartista eye pelao interest you the nation experiment univers art open 6sep pro ,0.0,0.5,0.812,0.0,0.188,0.4588
8sep coronavirus macedoniadelnort at least ten dead fire hospit patient covid19 macedonia ,-0.16666666666666666,0.26666666666666666,0.599,0.401,0.0,-0.7717
siamundarain2 omarleonelpadi1 andre4t1 exact peopl who thank app like r ,0.25,0.25,0.583,0.0,0.417,0.6124
i love much public inform improv it realli excel improv present inf ,0.16666666666666666,0.2222222222222222,0.556,0.0,0.444,0.802
andreucomas14 not bad point priorit servant nation health personnel tourism personnel fr ,0.3499999999999999,0.6666666666666666,0.794,0.0,0.206,0.431
given possibl sanction ederson steffen situat recov covid everyth would indic scott carson ,0.0,0.0,1.0,0.0,0.0,0.0
death covid diagnosi summer 2021 a juli 1 2021 80911 death a septemb 1 2021 85066 85066 ,0.0,0.0,0.585,0.415,0.0,-0.8316
rodolfo baron start youtub channel way accompani peopl quarantin decre pandem ,0.0,0.0,1.0,0.0,0.0,0.0
maximo kirchner laugh ask minut silenc almost 113000 death covid we alreadi know ,0.3,0.1,0.604,0.199,0.198,-0.0056
onli mediocr ignor public offici think say need vaccin countri ,0.0,0.06666666666666667,1.0,0.0,0.0,0.0
former valencian antivaccin pilot jorg li dy covid ,0.0,0.0,1.0,0.0,0.0,0.0
gold medal for mexico today countri death covid in the world gatel say third wave alreadi ,0.0,0.0,0.667,0.186,0.148,-0.2023
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
israel record vaccin record covid case amid inocul third dose popul ,0.0,0.0,1.0,0.0,0.0,0.0
despit progress vaccin campaign case coronavirus skyrocket israel ,0.0,0.0,0.714,0.0,0.286,0.4215
maximo kirchner laugh ask minut silenc almost 113000 death covid we alreadi know ,0.3,0.1,0.604,0.199,0.198,-0.0056
state in last 24 hour hidalgo ad 24 death covid figur exceed 7 thousand death per ,0.0,0.06666666666666667,0.625,0.375,0.0,-0.8316
stroke exist long covid vaccin but die ,-0.05,0.4,0.529,0.471,0.0,-0.7469
the magistr particip 12th academ session 2021 safeguard demo ,0.0,0.0,0.755,0.0,0.245,0.3818
hocicon pope franci urg receiv vaccin coronavirus critic want choos the ,0.0,0.0,0.726,0.169,0.105,-0.2023
gatellvaporlosniño want increas quota break record death covid ligadeguerrero follow ,0.0,0.0,0.606,0.295,0.098,-0.5574
the unhappi minimo laugh name kill covid ,0.3,0.1,0.376,0.353,0.271,-0.2732
last hour at least ten dead fire hospit covid19 patient north macedonia ministri s ,-0.125,0.21666666666666667,0.621,0.379,0.0,-0.7717
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
𝐄𝐒 𝐂𝐎𝐍𝐓𝐈𝐆𝐎 peopl 50 59 year old 6sep attend vaccin center ,0.0,0.15000000000000002,1.0,0.0,0.0,0.0
